geneID,Gene_name,gid
3002,GZMB,999
1509,CTSD,1000
175,AGA,1001
55690,PACS1,1002
23062,GGA2,1003
5328,PLAU,1004
5356,PLRG1,1005
988,CDC5L,1006
1163,CKS1B,1007
1843,DUSP1,1008
1164,CKS2,1009
6502,SKP2,1010
1027,CDKN1B,1011
9048,ARTN,1012
2676,GFRA3,1013
417,ART1,1014
5155,PDGFB,1015
10558,SPTLC1,1016
9517,SPTLC2,1017
19,ABCA1,1018
4110,MAGEA11,1019
80152,CENPT,1020
22911,WDR47,1021
85302,FBF1,1022
7186,TRAF2,1023
984,CDK11B,1024
30851,TAX1BP3,1025
55840,EAF2,1026
84335,AKT1S1,1027
4140,MARK3,1028
4189,DNAJB9,1029
79269,DCAF10,1030
6456,SH3GL2,1031
6917,TCEA1,1032
2960,GTF2E1,1033
9541,CIR1,1034
55677,IWS1,1035
9150,CTDP1,1036
57455,REXO1,1037
84701,COX4I2,1038
54205,CYCS,1039
51283,BFAR,1040
843,CASP10,1041
841,CASP8,1042
1896,EDA,1043
60401,EDA2R,1044
10913,EDAR,1045
5045,FURIN,1046
51268,PIPOX,1047
57489,ODF2L,1048
164592,CCDC116,1049
6517,SLC2A4,1050
11007,CCDC85B,1051
93664,CADPS2,1052
84466,MEGF10,1053
627,BDNF,1054
1756,DMD,1055
1813,DRD2,1056
2643,GCH1,1057
153733,CCDC112,1058
374618,TEX9,1059
23263,MCF2L,1060
387,RHOA,1061
998,CDC42,1062
5879,RAC1,1063
123169,LEO1,1064
478,ATP1A3,1065
477,ATP1A2,1066
7178,TPT1,1067
476,ATP1A1,1068
53822,FXYD7,1069
486,FXYD2,1070
118,ADD1,1071
5348,FXYD1,1072
1956,EGFR,1073
2146,EZH2,1074
1072,CFL1,1075
10397,NDRG1,1076
56848,SPHK2,1077
4067,LYN,1078
8877,SPHK1,1079
7189,TRAF6,1080
1508,CTSB,1081
26750,RPS6KC1,1082
80309,SPHKAP,1083
1501,CTNND2,1084
1805,DPT,1085
4015,LOX,1086
51194,IPO11,1087
84812,PLCD4,1088
10477,UBE2E3,1089
6136,RPL12,1090
79004,CUEDC2,1091
5241,PGR,1092
51535,PPHLN1,1093
9804,TOMM20,1094
838,CASP5,1095
5493,PPL,1096
64506,CPEB1,1097
83658,DYNLRB1,1098
23095,KIF1B,1099
57596,BEGAIN,1100
1739,DLG1,1101
58500,ZNF250,1102
9099,USP2,1103
5987,TRIM27,1104
9729,KIAA0408,1105
117144,CATSPER1,1106
11170,FAM107A,1107
147687,ZNF417,1108
50619,DEF6,1109
