GeneID1,GeneID2,weight
10813,64400,1.0
10813,8312,1.0
10813,27258,1.0
10813,3064,1.0
10813,6118,1.0
10813,6303,1.0
10813,5877,1.0
10813,7013,1.0
10813,64129,1.0
10813,7431,1.0
10813,11007,1.0
10813,22981,1.0
10813,29911,1.0
10813,80321,1.0
10813,333,1.0
10813,7159,1.0
10813,1363,1.0
10813,5802,1.0
10813,10425,1.0
10813,399,1.0
10813,1787,1.0
10813,10912,1.0
10813,7572,1.0
10813,5728,1.0
10813,55339,1.0
10813,10158,1.0
10813,23641,1.0
10813,10301,1.0
10813,51319,1.0
10813,9141,1.0
10813,5996,1.0
10813,3189,1.0
10813,5669,1.0
10813,29903,1.0
10813,55274,1.0
10813,6745,1.0
1287,9921,1.0
1287,2335,1.0
1287,1634,1.0
1287,4147,1.0
1287,351,1.0
1287,22918,1.0
1287,5008,1.0
1287,3026,1.0
1287,4318,1.0
1287,2199,1.0
1287,5270,1.0
60492,9921,1.0
60492,6303,1.0
60492,5717,1.0
60492,55643,1.0
60492,4860,1.0
60492,8894,1.0
60492,10551,1.0
60492,5272,1.0
60492,5050,1.0
60492,1030,1.0
60492,5863,1.0
60492,23028,1.0
60492,54622,1.0
60492,7083,1.0
60492,4666,1.0
60492,56144,1.0
60492,53826,1.0
60492,10301,1.0
60492,1031,1.0
60492,8848,1.0
60492,6866,1.0
60492,54949,1.0
60492,25824,1.0
9869,9921,1.0
9869,6498,1.0
9869,55729,1.0
9869,80063,1.0
9869,3065,1.0
9869,3066,1.0
9869,6303,1.0
9869,8761,1.0
9869,10140,1.0
9869,4152,1.0
9869,5717,1.0
9869,51588,1.0
9869,51295,1.0
9869,79753,1.0
9869,55643,1.0
9869,1019,1.0
9869,7431,1.0
9869,55734,1.0
9869,8988,1.0
9869,3163,1.0
9869,23649,1.0
9869,51684,1.0
9869,5511,1.0
9869,8553,1.0
9869,55183,1.0
9869,580,1.0
9869,5272,1.0
9869,5050,1.0
9869,8575,1.0
9869,6613,1.0
9869,25942,1.0
9869,57761,1.0
9869,10915,1.0
9869,10155,1.0
9869,2874,1.0
9869,7276,1.0
9869,5802,1.0
9869,10190,1.0
9869,23028,1.0
9869,6281,1.0
9869,64776,1.0
9869,7167,1.0
9869,1787,1.0
9869,84256,1.0
9869,23309,1.0
9869,1788,1.0
9869,7572,1.0
9869,7083,1.0
9869,22883,1.0
9869,25934,1.0
9869,65080,1.0
9869,54472,1.0
9869,23435,1.0
9869,57332,1.0
9869,56144,1.0
9869,9131,1.0
9869,2079,1.0
9869,10301,1.0
