diseaseID,id
C1861536,901
C2931135,902
C0220663,903
C3714208,904
C0005745,905
C0005747,906
C0339730,907
C0271215,908
C0750958,909
C0398568,910
C0005859,911
C3714239,912
C0796232,913
C2676285,914
C3808553,915
C3810350,916
C4310744,917
C4748257,918
C2931245,919
C0265339,920
C3159311,921
C1832216,922
C1843816,923
C0006079,924
C1859405,925
C1862264,926
C1862262,927
C1862263,928
C1970106,929
C0085920,930
C0221759,931
C0221356,932
C4479431,933
C0221357,934
C1300268,935
C1862103,936
C1862170,937
C1862151,938
C3554446,939
C4225183,940
C1832702,941
C1969652,942
C0432228,943
C1844853,944
C0751003,945
C3502469,946
C3150910,947
C0751955,948
C0007786,949
C4478940,950
C0751022,951
C0751886,952
C0752144,953
C0936261,954
C0750974,955
C3554078,956
C0376524,957
C0265234,958
C0809936,959
C4273131,960
C1865143,961
C4551702,962
C1970479,963
C0858252,964
C0346153,965
C0678222,966
C3150659,967
C3280345,968
C4014918,969
C1704377,970
C3280011,971
C0342302,972
C0263490,973
C1832918,974
C0085129,975
C0006267,976
C2749757,977
C2751666,978
C2751324,979
C0007120,980
C1857941,981
C0268497,982
C0796274,983
C0006309,984
C2231324,985
C0432253,986
C1850168,987
C1836602,988
C1142166,989
C4551804,990
C2673193,991
C2678478,992
C2678477,993
C2748541,994
C2751089,995
C2751088,996
C2751083,997
C4225340,998
C4082299,999
C0006384,1000
C4721444,1001
C0006413,1002
C1837822,1003
C0085568,1004
C4511237,1005
C3150902,1006
C4087273,1007
C3151189,1008
C3888024,1009
C0751587,1010
C1449626,1011
C0006635,1012
C0553586,1013
C1968949,1014
C0856830,1015
C0553730,1016
C1859690,1017
C1843758,1018
C0011989,1019
C0206307,1020
C0751663,1021
C0751666,1022
C0751667,1023
C0751664,1024
C0751665,1025
C0751075,1026
C0751177,1027
C0238301,1028
C0746787,1029
C0751571,1030
C0751365,1031
C0006840,1032
C0006852,1033
C0006845,1034
C1859353,1035
C3151402,1036
C3714992,1037
C4225324,1038
C0700345,1039
C0006868,1040
C0006870,1041
C3160814,1042
C0795905,1043
C3710589,1044
C2750413,1045
C0340803,1046
C2675370,1047
C1842180,1048
C4747394,1049
C4748670,1050
C1832466,1051
C4085580,1052
C0751753,1053
C4510743,1054
C3553571,1055
C3810404,1056
C0398782,1057
C0349535,1058
C0205695,1059
C0154091,1060
C0346191,1061
C0154059,1062
C0154060,1063
C0851140,1064
C0699885,1065
C1704374,1066
C0684249,1067
C0238033,1068
C4721806,1069
C0205643,1070
C0206687,1071
C0205644,1072
C0206704,1073
C0243038,1074
C0206692,1075
C0206695,1076
C4721610,1077
C0887833,1078
C0262584,1079
C0205697,1080
C0007138,1081
C0346990,1082
C0007140,1083
C0018790,1084
C4225199,1085
C1970119,1086
C1861984,1087
C2748542,1088
C4015285,1089
C1832950,1090
C1859330,1091
C4748484,1092
C4748946,1093
C1275081,1094
C1858424,1095
C3554534,1096
C4225154,1097
C4225304,1098
C3809007,1099
C1854063,1100
C2677338,1101
C2752072,1102
C1832244,1103
C2751084,1104
C1832243,1105
C2750995,1106
C1832680,1107
C2750466,1108
C2750091,1109
C3150898,1110
C3554649,1111
C1854368,1112
C3808935,1113
C3714995,1114
C1847667,1115
C3809289,1116
C1843808,1117
C3809346,1118
C1843791,1119
C1837839,1120
C1835928,1121
C3150681,1122
C1834481,1123
C3150958,1124
C1969639,1125
C1969024,1126
C2678476,1127
C2678475,1128
C2678474,1129
C3553409,1130
C4748647,1131
C4014393,1132
C4748014,1133
C3495498,1134
C1834460,1135
C2677506,1136
C2677491,1137
C2750472,1138
C2750467,1139
C2750459,1140
C3151204,1141
C3151264,1142
C3151265,1143
C1861864,1144
C3151267,1145
C4225408,1146
C4310749,1147
C1861863,1148
C2751427,1149
C1833236,1150
C1860752,1151
C1837471,1152
C1449563,1153
C1861861,1154
C2676271,1155
C1838539,1156
C0949658,1157
C2748884,1158
C0876994,1159
C0869523,1160
C0796279,1161
C1837245,1162
C1829703,1163
C0342790,1164
C1833511,1165
C1833508,1166
C1833518,1167
C0342791,1168
C3495555,1169
C0162510,1170
C1833541,1171
C0751633,1172
C0007274,1173
C0577631,1174
C0751019,1175
C0007282,1176
C4551510,1177
C3554247,1178
C0220748,1179
C0265493,1180
C0007370,1181
C0086543,1182
C3808115,1183
C3805373,1184
C3809001,1185
C3808377,1186
C3888124,1187
C3809004,1188
C4721890,1189
C3805410,1190
C3888097,1191
C3808012,1192
C3808107,1193
C3151304,1194
C3553494,1195
C3808800,1196
C3540850,1197
C3805412,1198
C4011454,1199
C4225389,1200
C4225300,1201
