diseaseID,GeneID,score
C0002395,1131,-0.19106475
C0002395,1132,0.5299407
C0002395,1133,0.6854987
C0002395,1134,0.33900112
C0002395,1135,1.0846264
C0002395,1136,1.2200282
C0002395,1137,0.01801607
C0002395,1138,1.5572102
C0002395,1140,0.60017914
C0002395,1143,1.3570578
C0002395,1144,0.72363997
C0002395,1145,0.35047895
C0002395,1146,0.53409743
C0002395,1147,0.39665774
C0002395,1149,1.319876
C0002395,1152,1.0140891
C0002395,1153,1.2096475
C0002395,1154,0.84133947
C0002395,1155,-0.8146247
C0002395,1158,0.57526404
C0002395,1159,-0.19331975
C0002395,1160,-1.1579502
C0002395,1161,-0.012747755
C0002395,1163,-0.16337237
C0002395,1164,0.01004464
C0002395,1173,0.77977926
C0002395,1174,0.54672825
C0002395,1175,0.3303748
C0002395,1176,0.92301744
C0002395,1179,-0.24587794
C0002395,1182,0.40318096
C0002395,1184,1.3899658
C0002395,1186,0.4702688
C0002395,1191,-0.11703625
C0002395,1192,0.43548432
C0002395,1193,0.34165388
C0002395,1195,0.019624144
C0002395,1196,-0.23040815
C0002395,1198,-0.3892883
C0002395,1207,0.102289215
C0002395,1208,-0.804868
C0002395,1211,-0.11845425
C0002395,1212,0.5187814
C0002395,1213,-0.69992054
C0002395,1215,0.98759496
C0002395,1230,0.6072544
C0002395,1232,0.981305
C0002395,1233,0.77698034
C0002395,1234,-0.37019348
C0002395,1235,-0.66900843
C0002395,1236,-0.23374547
C0002395,1237,1.0035281
C0002395,1240,0.89947253
C0002395,1241,-0.11015242
C0002395,1244,0.1283164
C0002395,132320,0.18233442
C0002395,1258,0.19616595
C0002395,1259,0.38079113
C0002395,1260,0.068639636
C0002395,1263,-1.1707428
C0002395,1264,-0.08443664
C0002395,1265,0.8707621
C0002395,1266,0.3042366
C0002395,1267,1.0560601
C0002395,1268,-0.29581845
C0002395,1269,1.2924992
C0002395,1270,1.0926111
C0002395,1271,-0.2318899
C0002395,1272,0.11714318
C0002395,1277,-0.20657897
C0002395,1278,-0.111976296
C0002395,1280,-0.9235832
C0002395,1281,-0.014307353
C0002395,1282,-0.18654802
C0002395,1284,1.0402722
C0002395,1285,0.6928099
C0002395,1286,0.22859445
C0002395,1287,0.98374856
C0002395,1288,0.7911909
C0002395,1289,0.99243855
C0002395,1290,0.96446997
C0002395,1291,0.7924502
C0002395,1292,0.60001695
C0002395,1293,0.6054858
C0002395,1294,0.89505243
C0002395,1295,0.28457966
C0002395,1296,0.5298213
C0002395,1297,0.9892014
C0002395,1298,0.902399
C0002395,1299,0.56155944
C0002395,1300,-0.012991249
C0002395,1301,0.15574032
C0002395,1305,0.658411
C0002395,1308,0.42704302
C0002395,1311,0.43324113
C0002395,1312,-0.19709599
C0002395,1314,0.64859617
C0002395,1315,-0.049776148
C0002395,1316,0.80819476
C0002395,1325,-0.4457736
C0002395,1326,0.94959044
C0002395,1329,0.030378427
C0002395,1345,-0.20396604
C0002395,1356,-0.39583328
C0002395,1361,0.91332823
C0002395,1363,0.8770353
C0002395,1364,0.7009177
C0002395,1365,0.15312102
C0002395,1366,-0.06711213
C0002395,1368,0.68990785
C0002395,1369,-0.124195404
C0002395,1370,-0.21232036
C0002395,1373,0.8834309
C0002395,1374,1.048815
C0002395,1380,0.5535259
C0002395,1381,0.9636452
C0002395,1382,0.7149062
C0002395,1385,-0.083689615
C0002395,1386,-0.049986884
C0002395,1387,-0.35643578
C0002395,1388,-0.24688955
C0002395,1390,1.0638218
C0002395,1392,-0.26477143
C0002395,1393,1.2265053
C0002395,1394,1.3382769
C0002395,1395,1.2860048
C0002395,1396,-0.114162266
C0002395,1397,-0.16430861
C0002395,1398,-0.14864522
C0002395,1399,-0.13819104
C0002395,1400,0.06984321
C0002395,1401,-0.13522242
C0002395,1404,0.56403786
C0002395,1406,0.3221116
C0002395,1407,1.3409983
C0002395,1408,0.9929749
C0002395,1409,0.4557472
C0002395,1410,1.0792625
C0002395,1411,0.5584891
C0002395,1412,0.4552106
C0002395,1413,0.18584237
C0002395,1414,0.42170227
C0002395,1415,0.5121074
C0002395,1417,0.41578376
C0002395,1420,0.517792
C0002395,1429,0.8478341
C0002395,1431,0.99015063
C0002395,1432,-0.15867408
C0002395,1434,-0.20390253
C0002395,1435,-0.6697258
C0002395,1436,-1.1206613
C0002395,1437,-0.13583994
C0002395,1438,0.41659117
C0002395,1439,1.3071404
C0002395,1440,-0.06874209
C0002395,1441,0.46990165
C0002395,1442,0.3484878
C0002395,1443,-0.7167983
C0002395,1445,0.43520236
C0002395,1446,-0.8381777
C0002395,1447,-0.6376678
C0002395,1448,0.31630063
C0002395,1452,0.3655016
C0002395,1453,1.125501
C0002395,1454,1.0467063
C0002395,1455,0.0062617147
C0002395,1456,-0.5930068
C0002395,1457,0.5949734
C0002395,1459,0.47617933
C0002395,1460,0.6265059
C0002395,1462,-0.1878151
C0002395,1463,1.1752336
C0002395,1465,0.915506
C0002395,1466,-0.24508679
C0002395,1468,0.4248467
C0002395,1471,-0.15323508
C0002395,1473,-0.159729
C0002395,1475,0.83072495
C0002395,1476,1.0490279
C0002395,1477,-0.117420785
C0002395,1478,-0.091754004
C0002395,1479,-1.1261468
C0002395,1482,1.2363082
C0002395,1485,-0.11644824
C0002395,1487,0.5135809
C0002395,1488,0.4457457
C0002395,1489,0.8240612
C0002395,1493,-0.30512142
C0002395,1495,0.8156827
C0002395,1496,1.0211864
C0002395,1499,-0.42256021
C0002395,1500,0.02904079
C0002395,1501,1.1429739
C0002395,1504,-0.7161038
C0002395,1506,0.59925693
C0002395,1508,-0.20233965
C0002395,1509,-0.7983458
C0002395,1510,0.6877304
C0002395,1511,-0.17671306
C0002395,1512,0.5483464
C0002395,1513,-0.17143187
C0002395,1520,0.4520589
C0002395,1523,-1.0959817
C0002395,1524,-0.84071016
C0002395,1525,-0.1781329
C0002395,1527,-0.47518116
C0002395,1528,0.9280703
C0002395,1535,1.1784551
C0002395,1536,-0.33813077
C0002395,1537,0.61812556
C0002395,1540,-0.087088175
C0002395,1543,-0.12225412
C0002395,1544,-0.26120624
C0002395,1557,-0.5703475
C0002395,1559,1.096921
C0002395,1571,-0.055916503
C0002395,1576,-1.3231727
C0002395,1583,1.4066226
C0002395,1584,0.54098
C0002395,1585,0.65273553
C0002395,1586,-0.2738957
C0002395,1588,0.07649421
C0002395,1600,0.49562263
C0002395,1601,-0.16719157
C0002395,1602,-0.7159567
C0002395,1603,0.09914169
C0002395,1604,0.93054545
C0002395,1605,-0.67452586
C0002395,1606,-0.58318037
C0002395,1609,0.30010694
C0002395,1610,0.9928751
C0002395,1611,0.5518579
C0002395,1612,-1.2921177
C0002395,1613,0.3667931
C0002395,1616,0.46627444
